Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	52	8	30
1	31	53	11
2	31	51	9
3	24	46	4
4	25	45	3
5	45	3	25
6	9	31	53
7	31	53	11
8	46	5	25
9	7	27	48
10	47	5	27
11	50	9	29
12	5	27	47
13	50	8	28
14	11	31	53
15	51	9	29
16	3	25	47
17	30	52	10
18	48	7	27
19	50	9	30
20	5	25	47
21	24	44	3
22	25	45	3
23	29	49	7
24	45	3	25
25	49	7	29
26	7	29	49
27	25	45	3
28	52	11	32
29	29	51	9
30	26	48	6
31	45	3	25
32	31	52	11
33	28	50	8
34	28	48	6
35	30	52	10
36	8	28	50
37	9	31	51
38	29	49	7
39	24	46	4
40	47	5	27
41	49	5	27
42	7	29	51
43	5	27	49
44	9	30	52
45	26	48	6
46	4	26	46
47	49	7	27
48	51	9	31
49	51	9	31
50	29	50	9
51	28	50	3
52	7	27	49
53	3	25	45
54	3	25	45
55	31	51	9
56	50	8	30
57	47	5	27
58	30	50	8
59	7	27	48
60	25	47	3
61	29	51	9
62	25	46	5
63	27	47	5
64	7	27	49
65	4	26	48
66	51	9	29
67	31	53	11
68	8	30	56
69	47	5	27
70	3	25	45
71	3	25	47
72	24	46	4
73	51	9	31
74	9	29	50
75	52	8	30
76	27	49	7
77	7	29	51
78	5	26	48
79	52	5	27
80	10	30	52
81	31	53	11
82	25	47	5
83	45	3	25
84	9	31	52
85	29	51	9
86	25	46	5
87	44	3	24
88	8	28	50
89	50	9	30
90	50	7	28
91	51	9	29
92	6	28	50
93	50	8	30
94	8	30	52
95	29	49	7
96	49	7	29
97	25	46	5
98	7	29	51
99	30	52	10
100	29	51	9
101	25	47	5
102	45	3	25
103	5	25	47
104	49	7	29
105	50	8	28
106	46	4	26
107	10	30	52
108	30	50	8
109	28	48	6
110	9	30	52
111	52	11	31
112	51	9	31
113	26	48	6
114	29	49	7
115	50	9	30
116	5	25	47
117	9	29	51
118	5	25	47
119	5	27	49
120	47	5	25
121	27	49	7
122	9	30	52
123	45	3	25
124	49	5	27
125	29	50	9
