Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3	21	41
1	48	7	28
2	31	51	9
3	6	28	50
4	46	3	25
5	7	27	49
6	45	3	25
7	7	29	49
8	51	9	31
9	50	8	28
10	53	11	31
11	47	5	27
12	47	5	27
13	25	45	3
14	31	51	9
15	29	51	9
16	7	29	51
17	25	47	5
18	8	28	50
19	7	29	50
20	28	48	6
21	49	5	27
22	27	48	7
23	49	5	27
24	11	31	53
25	27	48	7
26	47	3	25
27	51	9	29
28	45	3	25
29	5	27	47
30	50	7	28
31	5	27	49
32	46	3	24
33	30	50	8
34	28	50	8
35	45	3	25
36	30	52	10
37	30	52	10
38	27	49	7
39	51	9	29
40	50	9	30
41	52	10	30
42	30	52	8
43	52	10	32
44	51	7	29
45	10	30	52
46	30	52	10
47	51	9	31
48	4	26	46
49	7	28	50
50	27	49	7
51	9	31	53
52	25	47	3
53	27	47	5
54	46	3	24
55	48	7	28
56	27	47	5
57	28	48	7
58	25	47	5
59	27	49	5
60	50	9	30
61	7	27	49
62	49	5	27
63	28	50	8
64	46	4	24
65	27	47	5
66	45	3	25
67	5	25	47
68	8	30	50
69	10	30	52
70	29	49	7
71	49	5	27
72	9	29	50
73	26	48	6
74	31	51	9
75	11	31	53
76	5	27	51
77	7	29	50
78	48	5	27
79	25	47	5
80	51	7	29
81	26	48	6
82	31	53	9
83	51	9	31
84	25	47	5
85	30	52	8
86	45	3	25
87	5	25	47
88	52	8	30
89	45	3	25
90	49	5	27
91	29	51	9
92	47	5	27
93	31	51	9
94	50	6	28
95	48	6	28
96	29	51	9
97	49	7	27
98	50	9	30
99	7	27	48
100	46	3	24
101	48	6	28
102	8	30	50
103	27	49	7
104	46	5	25
105	48	6	28
106	26	48	6
107	9	31	53
108	30	52	10
109	25	50	5
110	47	5	27
111	52	8	30
112	9	29	51
113	24	46	4
114	29	51	9
115	5	27	49
116	7	29	51
117	30	52	4
118	46	4	24
119	52	9	30
120	25	45	3
121	5	27	49
122	45	3	25
123	50	8	30
124	49	7	29
125	3	25	47
126	52	8	30
127	45	3	25
128	46	5	26
129	46	3	24
130	8	28	50
131	28	48	7
132	52	10	32
133	10	30	52
134	29	51	9
135	28	50	8
136	5	26	48
137	5	27	49
138	25	47	5
139	30	50	8
140	7	27	49
141	9	31	51
142	7	27	49
143	31	53	11
144	6	28	50
145	28	48	7
146	29	50	9
147	44	3	24
148	49	7	29
149	27	49	7
150	50	8	30
151	28	48	6
152	51	9	29
153	25	47	5
154	25	45	3
155	49	7	29
156	7	29	51
157	50	8	30
158	8	28	50
159	48	7	28
160	7	27	49
161	47	5	27
162	25	47	5
163	49	7	27
164	27	49	7
165	53	9	31
166	52	10	32
167	29	49	7
168	51	7	29
169	3	25	47
170	27	49	5
171	8	30	52
172	25	47	5
173	49	7	27
174	29	49	7
175	52	10	30
176	45	3	25
177	5	27	47
178	49	5	27
179	6	26	48
180	29	51	9
181	27	48	7
182	27	49	5
183	30	52	10
184	4	26	84
185	44	3	24
186	30	50	8
187	47	5	27
188	28	50	8
189	3	25	47
190	51	9	31
191	52	9	30
192	48	7	28
193	49	7	29
194	3	25	47
195	30	52	10
196	46	4	26
