Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	82	109	131
1	85	111	131
2	76	101	121
3	24	49	69
4	69	95	115
5	99	6	26
6	27	51	73
7	78	101	123
8	87	113	133
9	43	68	88
10	33	57	79
11	85	111	131
12	57	83	103
13	57	81	103
14	90	116	7
15	89	114	5
16	71	96	116
17	34	60	80
18	97	4	26
19	85	111	131
20	101	9	29
21	63	89	109
22	36	62	82
23	50	73	95
24	69	94	114
25	48	72	93
26	13	38	58
27	48	77	97
28	61	87	107
29	61	87	107
30	22	46	66
31	25	51	71
32	30	55	75
33	74	100	120
34	15	40	60
35	103	10	32
36	18	43	63
37	76	102	122
38	13	38	58
39	53	77	99
40	20	46	66
41	74	99	119
42	48	74	94
43	78	103	123
44	43	68	88
45	67	90	112
46	105	13	35
47	27	53	73
48	85	111	131
49	88	114	4
50	84	108	130
51	60	83	105
52	44	69	89
53	78	104	124
54	27	53	73
55	10	36	56
56	18	42	64
57	48	72	94
58	76	100	122
59	93	116	7
60	24	47	69
61	90	116	4
62	61	85	107
63	5	31	51
64	76	100	122
65	89	113	135
66	54	78	100
67	22	48	68
68	80	104	126
69	28	52	73
70	3	28	48
71	69	95	115
72	52	77	97
73	34	58	80
74	75	98	120
75	43	68	88
76	80	106	126
77	54	80	100
78	71	95	116
79	82	107	127
80	20	43	65
81	52	77	97
82	96	3	25
83	69	94	114
84	52	76	98
85	52	76	97
86	38	64	84
87	29	54	74
88	48	74	94
89	47	70	92
90	101	10	30
91	61	84	106
92	88	114	5
93	48	74	94
94	67	92	112
95	78	103	123
96	21	47	67
97	14	38	59
98	52	77	97
99	69	95	115
100	24	50	70
101	39	65	85
102	69	94	114
103	7	31	53
104	65	88	110
105	48	74	94
106	73	96	118
107	95	3	23
108	40	64	86
109	87	113	133
110	26	51	71
111	53	79	99
112	103	13	33
113	69	95	115
114	9	35	55
115	22	47	67
116	29	54	74
117	69	94	114
118	24	50	70
119	11	35	56
120	88	113	133
121	69	95	115
122	10	36	56
123	65	90	116
124	90	116	5
125	9	35	55
126	59	85	105
127	98	5	27
128	3	29	49
129	54	79	99
130	105	13	33
131	24	49	69
132	91	117	5
133	40	66	86
134	61	84	106
135	15	40	60
136	46	71	91
137	72	96	118
138	72	96	118
139	50	75	95
140	94	118	9
141	14	38	59
142	78	103	123
143	50	73	95
144	33	57	79
145	103	10	32
146	15	40	60
147	12	38	58
148	85	111	131
149	43	68	88
150	70	94	116
151	36	60	82
152	88	114	5
153	50	75	95
154	38	64	88
155	36	62	82
156	46	72	92
157	65	91	111
158	58	81	101
159	59	85	105
160	71	94	116
161	8	34	54
162	24	47	69
163	78	101	123
164	11	36	56
165	9	34	54
166	19	43	65
167	88	111	133
168	63	87	109
169	86	111	131
170	67	93	113
171	84	108	130
172	46	69	91
173	37	61	82
174	65	91	111
175	67	92	112
176	86	112	132
177	33	59	79
178	105	12	32
179	38	64	84
180	9	34	54
181	9	34	54
182	43	68	88
183	48	74	94
184	80	106	126
185	50	76	96
186	88	111	131
187	84	107	129
188	79	105	125
189	18	41	63
190	41	65	86
191	67	91	113
192	80	103	125
193	38	62	84
194	70	94	114
195	49	75	95
196	3	29	49
197	78	103	123
198	59	85	105
199	3	28	48
200	22	47	67
201	65	90	110
202	41	66	86
203	48	74	94
204	105	15	35
205	50	75	95
206	99	6	26
207	75	100	120
208	96	3	23
209	103	12	32
210	59	85	105
211	40	64	86
212	5	28	50
213	9	35	55
214	50	74	96
215	65	90	110
216	64	90	110
217	67	93	113
218	18	43	63
219	65	89	111
220	31	57	77
221	38	62	84
222	71	97	117
223	9	34	54
224	13	36	58
225	57	81	103
226	52	75	97
227	46	72	92
228	52	76	98
229	54	79	99
230	62	87	107
231	71	95	115
232	94	120	9
233	26	52	72
234	25	51	71
235	31	55	77
236	81	105	127
237	70	94	116
238	103	11	33
239	41	65	86
240	91	116	7
241	101	9	31
242	11	36	56
243	47	72	96
244	37	63	83
245	76	101	121
246	10	36	56
247	22	47	67
248	27	51	71
249	90	116	5
250	62	87	107
251	52	76	98
252	49	73	95
253	86	111	131
254	74	100	120
255	83	107	129
256	31	55	77
257	5	31	51
258	58	81	103
259	48	73	93
260	14	38	60
261	46	72	92
262	18	41	63
263	79	105	125
264	82	106	128
265	92	116	7
266	9	34	54
267	98	5	25
268	7	31	51
269	43	68	88
270	33	59	79
271	82	106	128
272	7	32	52
273	29	55	75
274	5	30	50
275	56	81	101
276	61	85	107
277	72	98	118
278	18	42	64
279	16	42	62
280	94	120	9
281	16	42	62
282	105	13	35
283	14	40	60
284	5	29	50
285	69	94	114
286	103	10	30
287	76	100	121
288	101	9	30
289	18	44	64
290	52	77	97
291	33	59	79
292	26	49	71
293	35	58	80
294	74	100	120
295	97	5	25
296	83	107	129
297	50	75	95
298	33	57	79
299	63	86	106
300	5	29	51
301	90	121	6
302	59	85	105
303	55	81	101
304	37	63	83
305	27	53	73
306	41	67	87
307	31	57	77
308	48	74	96
309	33	59	79
310	61	84	106
311	27	53	73
312	87	113	133
313	87	113	133
314	72	98	118
315	29	53	75
316	61	87	107
317	10	34	56
318	45	70	90
319	38	64	84
320	46	71	91
321	16	42	62
322	70	96	116
323	37	63	83
324	26	50	71
325	37	61	83
326	36	62	82
327	38	62	84
328	60	85	105
329	35	60	80
330	20	46	66
331	33	58	78
332	30	55	75
333	83	107	129
334	42	66	88
335	94	120	9
336	26	52	72
337	79	103	125
338	78	103	123
339	101	9	31
340	20	44	65
341	31	55	75
342	56	81	101
343	95	5	25
344	45	68	90
345	84	110	130
346	100	7	29
347	92	118	8
348	49	81	101
349	70	94	116
350	91	120	7
351	101	9	30
352	69	94	114
353	51	77	97
354	7	32	52
355	54	78	100
356	3	28	48
357	27	51	73
358	90	116	5
359	23	49	69
360	103	11	31
361	42	68	90
362	101	9	31
363	89	114	3
364	76	100	121
365	103	13	33
366	78	104	124
367	103	11	31
368	82	108	128
369	82	108	129
370	40	64	86
371	11	36	56
372	31	57	77
373	37	62	82
374	75	100	120
375	67	90	112
376	3	28	48
377	63	88	108
378	29	54	74
379	10	34	56
380	96	3	25
381	96	3	25
382	59	85	105
383	13	36	58
384	12	38	58
385	97	7	27
386	50	75	99
387	39	63	85
388	42	66	88
389	12	36	58
390	7	33	53
391	15	40	60
392	14	38	60
393	84	108	129
394	83	109	129
395	91	115	5
396	80	105	125
397	50	73	95
398	66	92	112
399	80	104	125
400	51	77	97
401	36	62	82
402	79	101	121
403	28	53	73
404	44	70	90
405	105	9	31
406	85	109	131
407	38	62	84
408	67	92	112
409	3	29	49
410	63	87	109
411	19	43	65
412	61	86	106
413	69	94	114
414	22	47	67
415	14	40	60
416	59	85	105
417	89	112	3
418	10	36	56
419	12	36	58
420	101	10	30
421	48	74	94
422	50	74	96
423	26	51	71
424	76	100	122
425	91	116	5
426	40	66	86
427	39	63	85
428	62	85	107
429	91	116	5
430	53	77	99
431	5	30	50
432	85	109	131
433	78	104	124
434	80	105	125
435	63	89	109
436	74	100	120
437	72	96	118
438	42	68	88
439	56	79	99
440	6	32	52
441	77	100	122
442	8	34	54
443	93	118	9
444	65	90	110
445	70	94	116
446	59	83	105
447	81	105	127
448	23	47	69
449	24	48	70
450	59	83	104
451	25	51	71
452	74	100	120
453	93	118	7
454	52	75	97
455	45	70	90
456	11	35	57
457	44	70	90
458	45	70	90
459	77	100	122
460	41	64	86
461	41	66	86
462	69	94	114
463	62	87	107
464	83	109	129
465	54	78	100
466	46	71	91
467	63	87	109
468	60	83	105
469	47	70	90
470	59	83	105
471	22	48	68
472	12	38	58
473	76	102	122
474	50	76	96
475	13	38	58
476	33	59	79
477	44	68	90
478	10	34	56
479	58	83	103
480	15	40	60
481	76	102	122
482	65	89	110
483	65	91	111
484	89	115	5
485	89	114	3
486	84	107	129
487	95	3	24
488	67	93	113
489	92	118	8
490	14	40	60
491	74	98	120
492	11	34	56
493	78	103	123
494	12	38	58
495	101	9	29
496	34	60	80
497	33	56	78
498	57	81	103
499	18	42	64
500	80	104	126
501	65	90	110
502	57	81	103
503	20	46	66
504	29	55	75
505	78	102	124
506	63	89	109
507	61	87	107
508	59	84	104
509	76	101	121
510	7	33	53
511	27	51	73
512	5	31	51
513	65	91	111
514	61	86	106
515	33	56	78
516	28	51	73
517	90	114	5
518	87	113	133
519	61	85	107
520	81	107	127
521	93	118	9
522	5	31	51
523	44	70	90
524	23	49	69
525	39	64	84
526	103	10	32
527	91	116	7
528	101	9	31
529	40	64	86
530	23	49	69
531	84	109	129
532	5	30	50
533	46	70	91
534	85	111	131
535	91	116	5
536	79	105	125
537	35	58	80
538	50	76	96
539	48	73	93
540	78	104	124
541	88	114	3
542	87	113	133
543	86	110	132
544	48	73	93
545	101	8	30
546	26	52	72
547	48	74	94
548	22	47	67
549	80	105	125
550	8	34	54
551	12	38	58
552	5	31	51
553	62	87	107
554	47	74	94
555	5	31	51
556	53	79	99
557	85	109	131
558	92	116	7
559	92	118	9
560	46	71	91
561	59	85	105
562	92	118	7
563	35	61	81
564	94	118	9
565	56	79	99
566	99	7	27
567	33	59	79
568	5	28	50
569	98	5	25
570	84	104	124
571	22	47	67
572	67	91	113
573	63	87	109
