Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	296	323	343
1	959	984	1004
2	25	49	71
3	659	683	708
4	663	688	708
5	322	348	368
6	641	664	686
7	460	486	506
8	465	490	510
9	131	156	176
10	955	981	1001
11	874	900	922
12	1001	1026	1046
13	603	626	648
14	196	222	242
15	359	385	405
16	348	374	394
17	607	633	653
18	213	239	259
19	145	169	191
20	321	347	369
21	738	764	784
22	74	98	120
23	545	571	591
24	708	734	756
25	464	488	510
26	389	415	435
27	174	200	220
28	867	893	913
29	61	87	107
30	706	732	752
31	817	840	862
32	502	525	547
33	142	166	188
34	525	548	570
35	489	514	534
36	294	319	339
37	125	151	171
38	504	528	550
39	181	206	226
40	181	207	227
41	738	764	784
42	211	235	257
43	759	784	806
44	63	86	108
45	399	424	444
46	46	69	91
47	860	884	906
48	393	416	438
49	393	419	439
50	805	831	851
51	149	175	195
52	270	1308	317
53	73	98	118
54	36	62	82
55	384	407	429
56	1002	1028	1048
57	601	627	649
58	158	182	204
59	940	964	986
60	61	84	106
61	37	61	82
62	514	540	560
63	794	818	839
64	478	501	523
65	247	273	293
66	882	908	928
67	438	464	484
68	606	632	654
69	188	214	234
70	906	930	952
71	494	520	540
72	35	59	81
73	886	911	931
74	176	201	221
75	466	492	514
76	500	525	545
77	247	270	292
78	753	779	799
79	971	996	1018
80	537	563	583
81	869	895	915
82	731	754	776
83	796	822	842
84	73	98	118
85	423	448	468
86	451	476	496
87	466	492	512
88	714	738	759
89	478	501	523
90	198	224	244
91	514	538	560
92	1011	1035	1057
93	561	587	607
94	576	602	622
95	685	711	731
96	519	543	565
97	483	509	529
98	561	587	607
99	970	996	1018
100	708	733	753
101	601	624	646
102	238	263	283
103	815	841	861
104	959	985	1005
105	775	799	821
106	880	906	926
107	61	87	107
108	526	551	571
109	293	317	339
110	173	199	219
111	31	55	77
112	805	829	851
113	865	891	911
114	756	780	802
115	150	175	195
116	719	745	765
117	551	576	596
118	303	328	348
119	9	34	54
120	549	574	594
121	200	226	246
122	873	898	918
123	440	466	486
124	633	658	678
125	331	354	376
126	605	628	650
127	138	164	186
128	258	282	304
129	230	255	275
130	63	86	108
131	631	657	677
132	438	462	484
133	704	730	750
134	671	696	716
135	427	452	472
136	188	212	234
137	63	88	108
138	912	938	958
139	236	259	281
140	912	936	958
141	374	398	419
142	402	428	448
143	318	344	364
144	873	899	919
145	815	838	860
146	216	242	262
147	412	436	458
148	440	466	486
149	397	423	443
150	277	303	323
151	535	559	579
152	980	1005	1025
153	179	205	225
154	219	244	264
155	170	195	217
156	181	206	226
157	314	338	360
158	623	647	669
159	761	786	806
160	470	495	515
161	758	782	804
162	801	825	847
163	357	383	403
164	683	707	729
165	645	670	690
166	279	303	325
167	270	295	315
168	138	163	183
169	795	820	840
170	52	77	97
171	100	126	146
172	1006	1030	1051
173	160	186	206
174	55	79	101
175	901	924	946
176	791	814	836
177	234	259	279
178	575	601	621
179	490	516	536
180	886	910	932
181	544	568	590
182	129	155	175
183	832	857	877
184	1002	1026	1048
185	278	302	324
186	481	504	526
187	300	325	345
188	440	466	486
189	29	53	74
190	378	404	424
191	226	252	272
192	28	51	73
193	428	452	474
194	365	390	410
195	18	44	64
196	470	493	515
197	95	121	141
198	429	454	474
199	591	615	637
200	963	988	1008
201	206	229	251
202	511	536	556
203	244	268	290
204	944	968	990
205	848	872	894
206	106	130	152
207	603	629	649
208	987	1013	1033
209	683	709	729
210	744	769	789
211	693	719	739
212	673	698	718
213	614	638	659
214	772	797	817
215	423	448	468
216	714	740	760
217	715	739	761
218	271	297	317
219	447	473	493
220	907	933	953
221	67	93	113
222	286	312	332
223	894	917	939
224	459	484	504
225	581	606	626
226	592	618	638
227	546	570	592
228	18	44	64
229	963	987	1009
230	140	164	186
231	434	460	480
232	487	511	533
233	723	748	768
234	574	600	620
235	712	737	759
236	671	696	718
237	660	685	705
238	663	687	708
239	691	715	737
240	625	649	671
241	84	108	130
242	436	461	481
243	569	594	614
244	175	201	221
245	179	205	225
246	73	98	118
247	560	586	606
248	162	186	208
249	145	171	191
250	8	34	54
251	291	315	337
252	1015	1039	5
253	522	546	568
254	423	449	469
255	354	377	399
256	667	693	713
257	697	722	742
258	779	805	825
259	560	586	606
260	918	944	964
261	955	979	1001
262	944	970	990
263	521	546	566
264	676	702	722
265	190	214	236
266	201	225	247
267	203	227	249
268	8	34	54
269	794	819	839
270	613	636	658
271	187	213	233
272	958	983	1005
273	206	231	251
274	89	115	135
275	237	263	283
276	709	735	755
277	316	341	361
278	303	327	348
279	496	522	542
280	480	505	525
281	196	219	241
282	524	550	570
283	114	137	163
284	974	1003	1025
285	535	559	581
286	922	953	973
287	329	355	375
288	592	615	637
289	363	389	409
290	641	670	690
291	577	600	622
292	63	89	109
293	537	561	583
294	18	44	64
295	884	909	929
296	610	636	656
297	153	177	199
298	337	361	383
299	777	803	823
300	380	405	425
301	841	866	886
302	77	102	122
303	472	498	518
304	618	644	664
305	895	921	941
306	785	811	831
307	672	698	718
308	806	831	851
309	785	808	830
310	757	780	802
311	601	627	647
312	413	439	459
313	761	784	806
314	710	736	756
